run,score
0,11162.499557501063
1,10872.832303977651
2,11111.080188192247
3,10941.932629654082
4,11067.596571974029
5,522.1196272364898
6,-102.88920550243398
7,10442.264597956073
8,6587.977942353396
9,10862.284159667437
10,11168.46140856644
11,11000.789028206782
12,-44.50000771174762
13,11142.314949118374
14,10788.234473454633
15,10904.08773175177
16,11329.44980576343
17,10931.835221117335
18,10905.83965128174
19,10897.727066395244
20,11009.055812633213
21,11039.628971803646
22,10952.239606630708
23,10880.003397987228
24,11026.416548334415
25,10740.697977671507
26,11098.480808785269
27,10956.788372448718
28,11223.44293952267
29,10718.341053651811
30,11014.023257769642
31,11231.098492382745
32,11309.089417756179
33,10970.474425034212
34,10908.103229318509
35,11009.433141306712
36,10983.649160836678
37,10931.171091800545
38,10892.795380115005
39,10849.022888026948
40,10846.813831251291
41,11034.187750123827
42,10454.875023030148
43,10926.44679954043
44,2178.707516468325
45,7638.7641811064295
46,10926.787699341905
47,10915.173432529262
48,11059.71426272479
49,11041.432342814162
50,11165.198145577579
51,-197.1647902478323
52,10980.99332342685
53,11030.390714573608
54,10751.157640379271
55,10998.609956488
56,10934.498896686802
57,10670.762293094012
58,10968.358511238986
59,11125.585445204988
60,10943.957822745724
61,4117.576418201107
62,7170.494718697184
63,11004.036917049867
64,11097.638578354803
65,10662.465844582606
66,11079.962576373637
67,11039.420884600973
68,10903.505696699081
69,10868.047758190449
70,10974.929465973679
71,3613.0048807329713
72,11010.088746635742
73,10983.767903903636
74,10793.285621906933
75,10796.811055068534
76,2388.3410698143016
77,10495.65242241397
78,11135.68976680925
79,11077.548137253989
80,10803.749327181775
81,10938.727017171532
82,11070.921552627184
83,10750.234424665277
84,11077.78768889574
85,10993.986687987866
86,11037.670643441123
87,11188.481919687902
88,10912.03465857117
89,11015.093763433048
90,10565.25203611908
91,11059.69743438419
92,10958.55071130775
93,10882.365731481197
94,10600.812910184895
95,10914.056673745737
96,11058.98104226717
97,10765.21342798764
98,11013.891969631157
99,10962.138693945592
100,11065.300090729303
101,10910.507428634271
102,11269.603640732203
103,11069.232721978178
104,11019.711395912953
105,11274.762706140707
106,10916.870237600946
107,10809.076859454115
108,10372.035349909966
109,11365.296072151645
110,11121.289772315791
111,-184.2891369269383
112,10814.783853472061
113,11023.744051392436
114,10890.755497538898
115,11088.285414533515
116,-154.31612176246512
117,10911.57093722885
118,11268.571060714436
119,297.694105136159
120,10779.547922928065
121,10602.028128190203
122,10967.060929271442
123,10705.801505410205
124,10920.759525670714
125,10972.665053343939
126,11090.988366470978
127,10852.43506638659
128,11048.594854767383
129,10813.757689259955
130,10880.333131423964
131,11225.285818421544
132,-148.7064839309541
133,10982.569817023053
134,11204.153800801427
135,11382.396871004266
136,11237.114451153739
137,11031.980114091528
138,11265.801133514653
139,11082.972356529255
140,10849.738437737371
141,11012.194153583294
142,11007.572350296394
143,11323.584127425813
144,11080.591930164679
145,11092.438607855205
146,11257.334018575464
147,817.845351446871
148,10903.409054977705
149,10736.480421737602
150,11071.336018486927
151,10811.970621017575
152,-109.65511264886423
153,10946.488341802624
154,10782.411193324428
155,10995.35042796129
156,10897.305983064305
157,11201.864526912712
158,10804.506220343646
159,10910.071333901695
160,10764.050740716792
161,11032.172786591123
162,11209.052072819311
163,11158.84300798483
164,10826.787254101017
165,10826.061153016039
166,11117.573274194672
167,10933.54522075054
168,10796.87741453018
169,11219.014557225632
170,-191.54178155384315
171,11048.707722280367
172,11069.623932409613
173,10745.28445211384
174,11056.143997809035
175,11153.251175503821
176,10969.807023647438
177,10942.460484764464
178,2947.2914170326903
179,11104.807562243182
180,11104.579415736605
181,10996.537319293819
182,10792.72129283042
183,11043.181620206064
184,10918.761721329318
185,10462.548749506805
186,11227.030292979336
187,11042.962216157177
188,10813.021093211068
189,11323.967472569442
190,9996.77073856517
191,10831.475978021084
192,10691.328841890838
193,11145.594961754974
194,10822.983995336952
195,11042.308538956488
196,10969.854302196283
197,10877.572301456032
198,11086.68191982477
199,11001.86307193662
200,10543.57350190205
201,10965.589977331012
202,10798.595304289545
203,10879.508489197466
204,10965.269406289422
205,10946.171760296458
206,10693.996262890956
207,-109.86679304055998
208,11219.456686645819
209,-198.4387230842462
210,11297.42337982809
211,4003.300954072851
212,10904.69716789166
213,11276.17845651935
214,9728.859652677178
215,10540.274102411458
216,10886.633242179525
217,11056.8343231756
218,10958.622394929494
219,10969.641117583473
220,10878.119075959117
221,10506.036594905136
222,11059.512363564778
223,-206.1292679961832
224,4337.066225436412
225,3846.9814643155014
226,356.8177495177041
227,10897.793255712319
228,10923.865053301546
229,11015.988102987722
230,10828.452039318066
231,10780.643796356633
232,10803.75871762411
233,10954.278396487009
234,-189.76395529295158
235,11027.882878106057
236,11021.931806516199
237,10888.021504545892
238,11005.183135424915
239,10862.355991580902
240,11085.25801083692
241,11188.140505577447
242,11214.967620220777
243,10733.381352835797
244,538.2343434330015
245,11154.661353763544
246,11250.546487208769
247,10778.12145987778
248,10783.453143707196
249,11131.549766727503
250,11054.510205148385
251,10996.885642012117
252,10978.000324473438
253,10760.167384977934
254,11146.01945844807
255,10911.293677208781
256,10914.256859523035
257,11219.461925832584
258,11057.12729216097
259,10995.739598942031
260,10345.973709992444
261,11071.009369942472
262,11010.425834702899
263,11061.89612270955
264,11177.050204440475
265,11221.558378805516
266,10817.288541790298
267,11028.364055266564
268,10473.635328746708
269,6393.01585674405
270,10986.362835963277
271,10831.655587474575
272,11151.330703041025
273,10816.013816631434
274,11056.55110119452
275,10596.710535357843
276,11095.621739621229
277,-231.52887627860713
278,10914.124140201686
279,11184.134644171252
280,11081.183592303085
281,10767.30538728256
282,10570.1491168726
283,11125.33702410549
284,11185.82820987
285,10850.234844568145
286,2671.907933322045
287,11175.349372460354
288,11025.351367831474
289,10902.49910145414
290,11119.673650345929
291,11151.099763960665
292,10973.292962207777
293,11318.707158278421
294,11246.435956673613
295,11231.450931905956
296,10937.461230298215
297,10804.854922742432
298,11111.781416565344
299,11148.638670520904
300,10782.682519336275
301,11277.767911759907
302,10934.333996262014
303,8051.371377998931
304,10981.82582660078
305,10978.493094627669
306,11033.955840029103
307,11009.116906279924
308,11056.539951054003
